transaction_id,timestamp,amount,merchant_id,customer_id,transaction_type,country,device_id,ip_address,merchant_category,hour_of_day,is_fraud
T0000001,2024-03-18 02:07:41,158.01,M0209,C0709,prélèvement,UA,D2615,10.0.76.202,banque,2,1
T0000002,2019-11-26 14:39:56,190.25,M0350,C0739,prélèvement,UA,D1288,10.0.33.101,restaurant,14,0
T0000003,2023-11-11 00:18:50,149.89,M0102,C0068,virement,FR,D1975,10.0.20.97,technologie,0,0
T0000004,2021-05-15 07:44:34,6.97,M0053,C0983,prélèvement,JP,D3531,10.0.67.216,santé,7,0
T0000005,2019-04-01 10:20:14,82.24,M0049,C0738,virement,ES,D3633,10.0.75.36,loisir,10,0
T0000006,2022-12-19 21:11:35,247.32,M0230,C0062,prélèvement,CN,D0448,10.0.117.224,technologie,21,1
T0000007,2023-12-07 04:09:18,15.61,M0299,C0134,retrait,US,D0282,10.0.131.240,santé,4,0
T0000008,2023-03-17 21:35:39,144.09,M0007,C0325,remboursement,JP,D0676,10.0.0.109,technologie,21,0
T0000009,2018-11-10 22:50:04,298.92,M0450,C0286,dépôt,CN,D1416,10.0.172.162,mode,22,0
T0000010,2017-03-02 16:22:08,242.95,M0056,C0539,dépôt,DE,D3609,10.0.240.155,voyage,16,0
T0000011,2023-12-03 02:22:11,58.82,M0391,C0332,dépôt,NG,D0098,10.0.102.227,loisir,2,0
T0000012,2017-04-05 12:52:39,141.8,M0299,C0662,virement,ES,D3307,10.0.196.1,santé,12,0
T0000013,2021-09-22 04:52:00,202.42,M0156,C0807,retrait,NG,D1260,10.0.104.59,commerce,4,0
T0000014,2017-11-13 23:19:16,173.87,M0496,C0211,dépôt,UK,D1457,10.0.205.184,technologie,23,0
T0000015,2023-03-12 03:51:05,86.45,M0327,C0424,paiement,NG,D2520,10.0.134.199,voyage,3,0
T0000016,2017-04-25 03:58:38,50.21,M0128,C0451,retrait,UK,D3929,10.0.248.37,santé,3,0
T0000017,2021-05-13 12:13:30,221.53,M0213,C0520,virement,UA,D0713,10.0.25.45,santé,12,0
T0000018,2018-07-12 10:12:27,16.07,M0313,C0121,dépôt,BR,D0574,10.0.135.55,technologie,10,0
T0000019,2020-07-09 03:08:00,138.58,M0177,C0382,remboursement,US,D0861,10.0.237.231,restaurant,3,0
T0000020,2018-02-05 08:33:09,23.23,M0293,C0631,dépôt,JP,D3636,10.0.193.37,technologie,8,0
T0000021,2023-12-22 17:34:21,90.81,M0306,C0758,remboursement,NG,D3195,10.0.188.25,restaurant,17,0
T0000022,2019-05-21 10:57:18,172.4,M0328,C0820,virement,FR,D0084,10.0.70.156,banque,10,0
T0000023,2021-10-03 21:25:03,213.42,M0267,C0983,prélèvement,ES,D1186,10.0.218.137,technologie,21,0
T0000024,2018-01-26 09:56:39,76.98,M0215,C0784,retrait,JP,D0370,10.0.51.210,mode,9,0
T0000025,2022-11-01 05:16:09,33.37,M0475,C0242,prélèvement,UK,D3779,10.0.221.135,loisir,5,0
T0000026,2018-11-08 07:00:57,83.98,M0417,C0931,virement,RU,D0115,10.0.130.106,banque,7,0
T0000027,2024-04-16 20:21:06,97.6,M0202,C0627,dépôt,US,D1566,10.0.144.235,loisir,20,0
T0000028,2021-12-06 00:36:37,68.43,M0009,C0701,dépôt,UK,D3077,10.0.186.82,voyage,0,0
T0000029,2021-09-27 17:04:45,57.82,M0017,C0373,paiement,DE,D3040,10.0.82.199,restaurant,17,0
T0000030,2019-05-05 15:44:21,206.77,M0157,C0624,paiement,IT,D2714,10.0.108.208,banque,15,0
T0000031,2021-03-14 19:22:31,6.82,M0086,C0600,remboursement,ES,D0600,10.0.85.141,restaurant,19,0
T0000032,2022-07-28 03:50:10,3.6,M0144,C0992,remboursement,RU,D2337,10.0.8.58,voyage,3,1
T0000033,2024-05-27 12:04:54,46.15,M0399,C0922,retrait,FR,D2453,10.0.234.164,santé,12,0
T0000034,2023-04-20 23:41:13,1364.5,M0184,C0316,prélèvement,RU,D1096,10.0.196.245,technologie,23,1
T0000035,2023-12-31 08:30:18,60.04,M0326,C0699,dépôt,BR,D2551,10.0.85.12,restaurant,8,0
